,Air,Water,Toxics,Hazardous,Green_score,Natural_total_rank,City,State,Population,Crime_rank,Hospital_rank,Early_education_rank,University_education_rank,Human_related_rank,Rank_unemployment,Rank_sale_rate,Rank_Income,Rank_Tuition,Economy_rank,Bar_Rank,Restaurant_Rank,Museums_Rank,Libraries_Rank,Park_Rank,TopRes_Rank,Tertiary_Rank,Latitude,Longitude
25,33.0,30.0,21.0,35.0,38.0,37.0,Minneapolis,MN,388229.0,35.0,34.0,3.0,27.0,26.0,2.5,14.0,10.0,8.0,1.0,29.0,28.0,23.5,26.0,19.0,21.5,31.0,44.9772995,-93.2654692
26,30.0,14.0,18.0,46.0,20.0,22.5,Nashville,TN,603394.0,30.0,38.0,35.0,16.5,40.0,11.5,32.0,15.0,38.0,27.0,23.0,22.0,14.0,19.5,13.0,22.5,20.0,36.1622296,-86.7743531
27,38.5,13.0,10.0,48.0,29.0,31.0,New Orleans,LA,349773.0,29.0,24.5,35.0,28.0,37.5,31.0,46.0,29.0,3.0,32.5,10.0,27.0,11.0,28.0,1.0,6.0,12.0,29.9499323,-90.0701156
28,11.0,2.0,23.0,1.0,36.0,5.5,New York,NY,8110206.0,8.0,14.5,16.5,1.0,3.0,33.0,44.5,17.0,35.5,44.0,1.0,1.0,1.0,1.0,32.0,1.0,1.0,40.7306458,-73.9866136
29,43.0,1.0,45.0,41.0,4.0,29.0,Oklahoma City,OK,588053.0,21.0,26.5,35.0,30.0,33.5,1.0,37.0,18.0,2.0,6.0,28.0,23.0,15.5,33.0,3.0,21.5,23.0,35.4729886,-97.5170536
30,48.0,23.0,9.0,37.0,15.0,26.0,Orlando,FL,,23.0,11.5,31.5,36.0,29.5,35.5,10.0,36.0,12.5,26.0,34.0,34.0,34.0,34.0,34.0,22.5,42.0,28.5479786,-81.4127841856302
31,14.0,22.0,16.0,2.0,25.0,9.0,Philadelphia,PA,1522648.0,32.0,16.5,26.5,7.5,17.0,32.0,27.5,30.0,26.5,39.0,4.0,5.0,3.0,3.0,28.0,12.0,6.0,39.9523993,-75.1635899
32,17.0,37.0,1.0,22.0,30.0,16.0,Phoenix,AZ,1418687.0,11.0,32.0,28.0,11.0,16.0,11.5,35.0,12.0,25.0,20.0,20.0,10.0,22.0,10.0,7.0,21.5,15.0,33.4485866,-112.0773456
33,6.0,5.0,5.0,23.0,13.0,2.0,Pittsburgh,PA,308090.0,20.0,16.5,26.5,26.0,21.0,8.0,17.0,25.0,26.5,17.0,22.0,26.0,20.5,16.0,21.0,21.5,24.5,40.4416941,-79.9900861
34,49.0,45.0,35.0,32.0,40.0,50.0,Portland,OR,598205.0,6.0,38.0,35.0,10.0,21.0,17.0,4.5,9.0,38.0,9.0,9.0,13.0,25.5,27.0,8.0,22.5,18.0,45.5202471,-122.6741949
35,38.5,8.0,41.0,7.0,46.0,32.0,Providence,RI,179129.0,45.0,38.0,35.0,36.0,48.0,35.5,48.0,36.0,38.0,49.0,34.0,34.0,34.0,34.0,34.0,22.5,42.0,41.8239891,-71.4128343
36,31.0,4.0,13.0,34.0,46.0,22.5,Richmond,VA,220289.0,45.0,38.0,35.0,36.0,48.0,35.5,4.5,36.0,38.0,37.0,34.0,34.0,34.0,34.0,34.0,22.5,42.0,37.5385087,-77.43428
37,1.0,45.0,43.0,25.0,32.0,33.0,Riverside ,CA,,5.0,38.0,35.0,36.0,35.0,35.5,10.0,36.0,38.0,40.0,34.0,34.0,34.0,34.0,34.0,22.5,42.0,33.9533546,-117.3961623
38,46.0,32.0,32.0,43.0,46.0,48.0,Rochester,NY,213178.0,45.0,38.0,35.0,35.0,45.0,19.0,38.5,34.0,38.0,43.0,31.0,33.0,30.0,32.0,28.0,22.5,33.0,43.157285,-77.615214
39,4.0,45.0,49.0,40.0,41.0,44.0,Sacramento,CA,,19.0,7.0,8.0,36.0,13.0,35.5,17.0,36.0,32.0,41.0,34.0,34.0,34.0,34.0,34.0,22.5,42.0,38.5815719,-121.4943996
40,26.0,45.0,2.0,14.0,46.0,28.0,Salt Lake City,UT,193744.0,45.0,38.0,35.0,36.0,48.0,35.5,48.0,36.0,38.0,49.0,34.0,34.0,34.0,34.0,34.0,22.5,42.0,40.7670126,-111.8904308
41,42.0,18.0,42.0,47.0,18.0,43.0,San Antonio,TX,1365256.0,7.0,2.5,22.5,22.0,7.0,13.0,27.5,24.0,16.5,19.0,8.0,8.0,13.0,16.0,14.5,21.5,10.0,29.4246002,-98.4951405
42,13.0,45.0,46.0,42.0,44.0,47.0,San Diego,CA,1319558.0,4.0,7.0,8.0,6.0,1.0,25.0,10.0,4.0,32.0,12.0,19.0,7.0,7.0,7.5,5.5,12.0,7.0,32.7174209,-117.1627714
43,47.0,45.0,34.0,16.0,45.0,46.0,San Francisco,CA,808854.0,24.0,7.0,8.0,5.0,6.0,15.0,21.0,2.0,32.0,10.0,5.0,6.0,5.0,7.5,28.0,2.0,5.0,37.7791185,-122.4138641
44,41.0,45.0,50.0,21.0,43.0,49.0,San Jose,CA,956368.0,2.0,7.0,8.0,23.5,4.0,20.0,23.0,1.0,32.0,16.0,32.0,20.0,32.0,22.0,14.5,21.5,29.0,37.3297085,-121.9031599
45,36.0,21.0,37.0,15.0,39.0,34.5,Seattle,WA,624070.0,10.0,33.0,34.0,13.0,23.0,9.5,36.0,3.0,22.0,11.0,14.0,11.0,15.5,12.0,23.0,12.0,13.0,47.6038321,-122.3300624
46,5.0,36.0,6.0,6.0,14.0,4.0,St.Louis,MO,304219.0,44.0,38.0,35.0,33.5,44.0,27.5,41.0,32.0,38.0,45.0,34.0,34.0,34.0,34.0,34.0,22.5,42.0,38.6272733,-90.1978889
47,40.0,3.0,17.0,17.0,10.0,11.0,Tampa,FL,340509.0,9.0,11.5,31.5,32.0,18.0,21.0,17.0,22.0,12.5,14.5,30.0,25.0,27.5,29.5,21.0,21.5,32.0,27.9518491,-82.4563972
48,35.0,17.0,29.0,33.0,23.0,30.0,Virginia Beach,VA,438243.0,1.0,28.0,19.0,33.5,15.0,2.5,13.0,5.0,29.0,2.0,33.0,24.0,33.0,31.0,2.0,22.5,30.0,36.7953025,-76.0509251225811
49,25.0,19.0,12.0,12.5,42.0,18.0,Washington ,DC,607731.0,36.0,38.0,35.0,7.5,37.5,24.0,4.5,6.0,38.0,14.5,34.0,34.0,34.0,34.0,34.0,22.5,42.0,38.8949549,-77.0366456
