,City,State,Population,Violent,Rape,Robbery,Colleges,Percent_graduate_degree,AvgSATScore,NumTop200UnivInState,NumHospital,total crime,crime_rank,hospital_rank,early_education_rank,old_education_rank,Human_related_rank,latitude,longitude,text
33,Pittsburgh,PA,308090.0,706.2,26.7,279.6,10.0,12.7,1213.0,16.0,179.0,1012.5000000000001,20.0,16.5,26.5,26.0,21.0,40.4416941,-79.9900861,Pittsburgh: 21
34,Portland,OR,598205.0,472.8,42.6,137.6,16.0,11.8,,,,653.0,6.0,38.0,35.0,10.0,21.0,45.5202471,-122.6741949,Portland: 21
35,Providence,RI,179129.0,,,,,,,,,,45.0,38.0,35.0,36.0,48.0,41.8239891,-71.4128343,Providence: 48
36,Richmond,VA,220289.0,,,,,,,,,,45.0,38.0,35.0,36.0,48.0,37.5385087,-77.43428,Richmond: 48
37,Riverside ,CA,,446.0,42.4,161.0,,,,,,649.4,5.0,38.0,35.0,36.0,35.0,33.9533546,-117.3961623,Riverside : 35
38,Rochester,NY,213178.0,,,,4.0,7.8,,,,,45.0,38.0,35.0,35.0,45.0,43.157285,-77.615214,Rochester: 45
39,Sacramento,CA,,737.4,21.4,239.7,,,1247.0,23.0,346.0,998.5,19.0,7.0,8.0,36.0,13.0,38.5815719,-121.4943996,Sacramento: 13
40,Salt Lake City,UT,193744.0,,,,,,,,,,45.0,38.0,35.0,36.0,48.0,40.7670126,-111.8904308,Salt Lake City: 48
41,San Antonio,TX,1365256.0,587.2,71.7,135.7,7.0,5.5,1221.0,6.0,378.0,794.6000000000001,7.0,2.5,22.5,22.0,7.0,29.4246002,-98.4951405,San Antonio: 7
42,San Diego,CA,1319558.0,398.6,40.4,98.4,16.0,10.9,1247.0,23.0,346.0,537.4,4.0,7.0,8.0,6.0,1.0,32.7174209,-117.1627714,San Diego: 1
43,San Francisco,CA,808854.0,776.8,39.8,417.9,17.0,16.0,1247.0,23.0,346.0,1234.5,24.0,7.0,8.0,5.0,6.0,37.6935802950957,-122.47755348592,San Francisco: 6
44,San Jose,CA,956368.0,329.6,36.4,110.5,4.0,9.8,1247.0,23.0,346.0,476.5,2.0,7.0,8.0,23.5,4.0,37.3297085,-121.9031599,San Jose: 4
45,Seattle,WA,624070.0,598.7,21.1,224.1,8.0,16.8,1196.0,4.0,63.0,843.9000000000001,10.0,33.0,34.0,13.0,23.0,47.6038321,-122.3300624,Seattle: 23
46,St.Louis,MO,304219.0,1817.1,82.9,564.5,6.0,7.8,,,,2464.5,44.0,38.0,35.0,33.5,44.0,38.6272733,-90.1978889,St.Louis: 44
47,Tampa,FL,340509.0,630.7,21.1,184.1,6.0,7.5,1199.0,4.0,218.0,835.9000000000001,9.0,11.5,31.5,32.0,18.0,27.9477595,-82.458444,Tampa: 18
48,Virginia Beach,VA,438243.0,138.3,22.7,59.6,3.0,7.3,1228.0,8.0,92.0,220.6,1.0,28.0,19.0,33.5,15.0,36.7953025,-76.0509251225811,Virginia Beach: 15
49,Washington ,DC,607731.0,1202.6,73.5,506.4,17.0,19.6,,,,1782.5,36.0,38.0,35.0,7.5,37.5,38.8949549,-77.0366456,Washington : 37
